,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,init_deg_assort,fin_deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step1_far_dead_node,step2_isol,step2_unsupp,step2_far_dead_node,step3_isol,step3_unsupp,step3_far_dead_node,step4_isol,step4_unsupp,step4_far_dead_node,step5_isol,step5_unsupp,step5_far_dead_node,step6_isol,step6_unsupp,step6_far_dead_node,step7_isol,step7_unsupp,step7_far_dead_node,step8_isol,step8_unsupp,step8_far_dead_node,step9_isol,step9_unsupp,step9_far_dead_node,step10_isol,step10_unsupp,step10_far_dead_node,step11_isol,step11_unsupp,step11_far_dead_node,step12_isol,step12_unsupp,step12_far_dead_node,step13_isol,step13_unsupp,step13_far_dead_node,step14_isol,step14_unsupp,step14_far_dead_node,step15_isol,step15_unsupp,step15_far_dead_node,step16_isol,step16_unsupp,step16_far_dead_node,step17_isol,step17_unsupp,step17_far_dead_node,step18_isol,step18_unsupp,step18_far_dead_node,step19_isol,step19_unsupp,step19_far_dead_node,step20_isol,step20_unsupp,step20_far_dead_node,step21_isol,step21_unsupp,step21_far_dead_node,step22_isol,step22_unsupp,step22_far_dead_node
349,88,0.067,1644.5,500,2.5,5.5,6,404,490,11,0.689227628,0.470365581,0.588109747,0.5,6.578,0.01,489,3,0.604736145,nan,0.371060737,0.371060737,21,90,0.691510268,18,18,0.672597966,116,17,0.661000676,0,116,0.622716847,189,0,0.683151548,0,189,0.629954491,51,0,0.60735196,0,51,0.681276105,9,0,0.58185879,0,9,0.381115348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,88,0.067,1644.5,500,1066,1466,800,3,97,4,0.689227628,0.691510268,0.012798461,0.01459136,6.578,4.264,499,400,0.0108706,0.017339025,0.470315052,0.470315052,2,95,0.661363954,1,1,0.406530153,0,1,0.552573365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,88,0.067,1644.5,500,1077.5,1479.5,804,3,93,5,0.689227628,0.683151548,0.012798461,0.013828867,6.578,4.31,499,402,0.0108706,-0.011182439,0.328475282,0.470315052,2,91,0.691510268,0,1,0.297555248,1,0,0.380841637,0,1,0.629954491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,89,0.067,1635.5,500,946,1285,678,69,153,7,0.686865133,0.685694369,0.603627947,0.600417956,6.542,3.784,498,339,0.633540759,0.620006929,0.295279592,0.228288272,4,94,0.698199479,54,2,0.687695249,8,46,0.661060328,0,8,0.512689363,3,0,0.52407693,0,3,0.35857433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,89,0.067,1635.5,500,0,0,0,411,489,20,0.686865133,0,0.603627947,0,6.542,0,498,0,0.633540759,0,0,0,4,84,0.698199479,45,3,0.661060328,0,44,0.662234589,55,0,0.687695249,0,51,0.592872514,12,0,0.62394995,0,12,0.618147326,70,0,0.685694369,0,70,0.654981008,124,0,0.675530787,0,124,0.669420044,89,0,0.647923577,0,89,0.540923135,8,0,0.446567822,0,8,0.262452582,2,0,0.247887443,0,2,0.480096657,2,0,0.471807897,0,2,0.286039003,0,0,0,0,0,0,0,0,0
354,89,0.067,1635.5,500,1036.5,1432.5,792,7,101,4,0.686865133,0.698199479,0.013581125,0.012623256,6.542,4.146,499,396,-0.002478373,0.001364695,0.360109835,0.360109835,5,94,0.662234589,2,5,0.530524033,0,2,0.383954263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,89,0.067,1635.5,500,1057.5,1457.5,800,8,92,4,0.686865133,0.698199479,0.013581125,0.011159993,6.542,4.23,499,400,-0.002478373,0.007317002,0.435051396,0.473720484,5,84,0.663976304,3,5,0.609307608,0,3,0.574822194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,90,0.067,1665,500,0,0,0,506,394,12,0.6789318,0,0.609846703,0,6.66,0,467.5,0,0.571259815,0,0,0,65,75,0.689552227,232,32,0.678251411,10,162,0.62231829,76,6,0.567646745,17,66,0.660991847,54,7,0.668311373,36,28,0.650396692,9,10,0.517952195,5,6,0.465797917,1,2,0.282745968,1,0,0.198859273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,90,0.067,1665,500,1,3,4,508,388,14,0.6789318,0.471194227,0.609846703,0,6.66,0.004,467.5,2,0.571259815,nan,0.355300671,0.355300671,65,81,0.689552227,81,51,0.662502021,63,59,0.636219999,106,38,0.668311373,14,72,0.618368279,136,6,0.670775304,13,61,0.521671707,17,4,0.511730458,4,8,0.490307966,6,0,0.436342508,0,5,0.372521618,3,0,0.380910272,0,3,0.441402437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,90,0.067,1665,500,1082,1484,804,4,92,6,0.6789318,0.678251411,0.012656277,0.010077992,6.66,4.328,499.5,402,-0.019970929,-0.048556401,0.523974752,0.523974752,1,88,0.689552227,2,1,0.567596847,0,2,0.527394244,1,0,0.215389209,0,1,0.589388818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
