,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,init_deg_assort,fin_deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step1_far_dead_node,step2_isol,step2_unsupp,step2_far_dead_node,step3_isol,step3_unsupp,step3_far_dead_node,step4_isol,step4_unsupp,step4_far_dead_node,step5_isol,step5_unsupp,step5_far_dead_node,step6_isol,step6_unsupp,step6_far_dead_node,step7_isol,step7_unsupp,step7_far_dead_node,step8_isol,step8_unsupp,step8_far_dead_node,step9_isol,step9_unsupp,step9_far_dead_node,step10_isol,step10_unsupp,step10_far_dead_node,step11_isol,step11_unsupp,step11_far_dead_node,step12_isol,step12_unsupp,step12_far_dead_node,step13_isol,step13_unsupp,step13_far_dead_node,step14_isol,step14_unsupp,step14_far_dead_node,step15_isol,step15_unsupp,step15_far_dead_node,step16_isol,step16_unsupp,step16_far_dead_node,step17_isol,step17_unsupp,step17_far_dead_node,step18_isol,step18_unsupp,step18_far_dead_node
95,24,0.073,1975.5,500.0,836,1155.0,638,3,159,4,0.6779592786032768,0.6774126014253629,0.016174638261635156,0.01664122189200559,7.902,3.344,500,319,0.021065780643456163,0.012894486209698339,0.36886644722760464,0.47294585781677956,2,156,0.6785059557811907,1,2,0.3426355653129659,0,1,0.4169748164215727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,25,0.073,1987.0,500.0,1393,1770.0,754,10,36,3,0.6850058316808787,0.6748959750498305,0.6078675796168056,0.6187237418971576,7.948,5.572,495,377,0.6277709220237135,0.6099078927200742,0.413618642241138,0.36979152468153853,10,26,0.695628098282891,0,10,0.6978192394549569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,25,0.073,1987.0,500.0,4.5,8.5,8,315,477,14,0.6850058316808787,0.4778044099269994,0.6078675796168056,0.5,7.948,0.018000000000000002,495,4,0.6277709220237135,nan,0.45721951054060106,0.45721951054060106,10,167,0.695628098282891,33,6,0.6666282661519716,0,32,0.6155932296604534,100,0,0.6689508483501851,0,100,0.6738489871724643,143,0,0.6978192394549569,0,143,0.6623128203487972,26,0,0.6721924239068003,0,26,0.5813039888461722,1,0,0.5181440359812777,0,1,0.3594486589314452,2,0,0.3280932198122733,0,2,0.4158892068206324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,25,0.073,1987.0,500.0,1210.5,1596.5,772,1,27,3,0.6850058316808787,0.6978192394549569,0.013817316343786912,0.012801353798763123,7.948,4.8420000000000005,500,386,0.018967941542363455,0.011635726732492909,0.5318196637983834,0.44169246092577835,1,26,0.5983136251503729,0,1,0.5792396111772757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,25,0.073,1987.0,500.0,776,1089.0,626,2,172,4,0.6850058316808787,0.6978192394549569,0.013817316343786912,0.012642637802382211,7.948,3.104,500,313,0.018967941542363455,-0.02892168586469401,0.5318196637983834,0.5318196637983834,1,170,0.6748959750498305,1,1,0.5179848425806094,0,1,0.43486715712811874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,26,0.073,1982.0,500.0,1361,1737.0,752,3,45,4,0.6698686804389105,0.6760235260900322,0.610650777242557,0.6187556119385995,7.928,5.444,499.5,376,0.5554541053998499,0.5184620297749091,0.48452401620684504,0.3881542089508234,1,42,0.5150624220629024,2,1,0.4679209513341058,0,2,0.34464677630896917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,26,0.073,1982.0,500.0,893.5,1192.5,598,28,174,6,0.6698686804389105,0.6637138347877886,0.610650777242557,0.6105850302559924,7.928,3.574,499.5,299,0.5554541053998499,0.509500589834398,0.41774998277794856,0.30102450404636105,1,148,0.6272654390672021,11,1,0.5368976602899099,0,11,0.5929401378459446,16,0,0.6760235260900322,0,14,0.4857135486379705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,26,0.073,1982.0,500.0,1121,1497.0,752,3,45,4,0.6698686804389105,0.6760235260900322,0.01541309138325227,0.014942333471354114,7.928,4.484,499.5,376,-0.0451110035744291,-0.042348545154741686,0.3956016365823044,0.3956016365823044,2,42,0.4416216692520825,1,2,0.4588398798978742,0,1,0.378210993887559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,26,0.073,1982.0,500.0,819.5,1142.5,646,4,150,4,0.6698686804389105,0.6760235260900322,0.01541309138325227,0.014911163827572495,7.928,3.278,499.5,323,-0.0451110035744291,-0.04174001130288149,0.3413244264055862,0.3905912614451993,2,147,0.6272654390672021,2,1,0.6366356296809164,0,2,0.6391680465738118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,27,0.073,1972.0,500.0,1395.5,1773.5,756,5,39,4,0.680144683808686,0.6885337644446908,0.5965113215645722,0.6054408675891916,7.888,5.582000000000001,499,378,0.5968438070296452,0.6097512265496963,0.4865620932503424,0.34446012475020427,2,34,0.6823875971115619,3,2,0.6717556031726812,0,3,0.30297073252538165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,27,0.073,1972.0,500.0,2.5,5.5,6,324,470,10,0.680144683808686,0.5474230965518613,0.5965113215645722,0.5,7.888,0.01,499,3,0.5968438070296452,nan,0.4676516348365197,0.4676516348365197,2,156,0.6823875971115619,197,0,0.6702311537577884,0,189,0.6885337644446908,103,0,0.679667290910385,0,103,0.6581339615066573,20,0,0.5450097241018537,0,20,0.6111057079085199,2,0,0.5622806369066417,0,2,0.48065058119825776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,27,0.073,1972.0,500.0,1129.5,1509.5,760,3,37,3,0.680144683808686,0.6885337644446908,0.013889947307594354,0.014865332036384654,7.888,4.518,500,380,-0.011269261377342313,0.015132663455468744,0.4553742392720377,0.4553742392720377,3,34,0.6162462269843837,0,3,0.6436535878351558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,27,0.073,1972.0,500.0,800.5,1114.5,628,9,163,6,0.680144683808686,0.6885337644446908,0.013889947307594354,0.017001681969834835,7.888,3.202,500,314,-0.011269261377342313,0.013043420223039117,0.28452162324755537,0.39552658503313554,3,155,0.6793526362344261,4,2,0.45405561029116553,1,4,0.4614193291185489,1,1,0.5367339149397113,0,1,0.36512034475780997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
