3,0.045,765,500,1,3,4,418,478,33,0.693075014,0.547080868,0.008229684,0,3.06,0.004,476.5,2,nan,0.518005673,0.518005673,68,90,0.624065584,37,53,0.661320881,24,30,0.696992844,13,22,0.615411093,15,13,0.626627052,8,15,0.604004255,13,8,0.6475764,15,11,0.578468085,11,13,0.662960447,5,11,0.664309921,6,5,0.547066551,6,6,0.64135257,6,6,0.585568378,7,6,0.628358074,5,7,0.548701878,5,5,0.511960483,2,5,0.538685111,4,2,0.575036525,4,4,0.516981237,1,3,0.417026979,10,0,0.630634779,0,10,0.668068807,17,0,0.647734972,0,17,0.640764194,41,0,0.632426323,0,41,0.684356231,55,0,0.662773022,0,55,0.689157183,36,0,0.620838057,0,36,0.61878997,4,0,0.499937796,0,4,0.550484588,0,0,0,,,,,,,,,,,,
4,0.045,777.5,500,0,0,0,812,88,6,0.686330202,0,0.541677059,0,3.11,0,107,0,0,0,0,723,10,0.704165186,65,74,0.57821184,22,2,0.602170795,0,2,0.485326911,2,0,0.494879128,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.045,777.5,500,0,0,0,807,93,5,0.686330202,0,0.541677059,0,3.11,0,107,0,0,0,0,723,20,0.704165186,72,72,0.602170795,11,1,0.537205399,1,0,0.279903649,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.045,777.5,500,341,617,552,140,208,9,0.686330202,0.704165186,0.004763469,0.005922188,3.11,1.364,470.5,276,-0.009732979,0.539342046,0.539342046,80,89,0.662147749,18,66,0.677153097,24,16,0.666886498,6,22,0.639358576,11,4,0.566971002,0,10,0.486815326,1,0,0.439218951,0,1,0.51710572,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.045,777.5,500,295.5,543.5,496,174,230,13,0.686330202,0.704165186,0.004763469,0.001344086,3.11,1.182,470.5,248,-0.159734742,0.317153451,0.319088193,80,78,0.66687781,18,65,0.635920037,22,15,0.602170795,3,18,0.611714505,16,3,0.618187813,0,16,0.633988625,17,0,0.677153097,0,17,0.63300587,16,0,0.654852629,0,16,0.628648548,2,0,0.532616405,0,2,0.615773718,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.045,762.5,500,0,0,0,828,72,4,0.692036701,0,0.512968021,0,3.05,0,50,0,0,0,0,815,6,0.693566166,4,66,0.560913309,9,0,0.50993626,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.045,762.5,500,0,0,0,855,45,5,0.692036701,0,0.512968021,0,3.05,0,50,0,0,0,0,815,8,0.693566166,37,36,0.560913309,2,1,0.50607841,1,0,0.484074025,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.045,762.5,500,304,562,516,156,228,11,0.692036701,0.693566166,0.004712516,0.004521964,3.05,1.216,468.5,258,-0.02935337,0.502123556,0.538233157,73,88,0.690507237,18,63,0.640830109,29,16,0.652893029,2,26,0.614447537,11,1,0.639103412,0,11,0.577290267,13,0,0.535478943,0,13,0.600382147,10,0,0.575363708,0,10,0.545805628,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.045,762.5,500,311,570,518,154,228,17,0.692036701,0.693566166,0.004712516,0.003989704,3.05,1.244,468.5,259,-0.060010126,0.331206222,0.438785137,73,89,0.690507237,20,64,0.656544423,20,16,0.650825211,3,19,0.577290267,7,2,0.640830109,1,7,0.639103412,7,1,0.620172857,0,7,0.492523953,12,0,0.613438453,0,12,0.476138786,6,0,0.607471311,0,6,0.569763524,4,0,0.468898988,0,4,0.544652669,1,0,0.328152571,0,1,0.353363876,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.045,761.5,500,0,0,0,804,96,6,0.6904503,0,0.495484065,0,3.046,0,72,0,0,0,0,764,12,0.691009002,15,79,0.587324182,23,0,0.545995141,0,5,0.490163557,2,0,0.470720401,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
