,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step2_isol,step2_unsupp,step3_isol,step3_unsupp,step4_isol,step4_unsupp,step5_isol,step5_unsupp,step6_isol,step6_unsupp,step7_isol,step7_unsupp,step8_isol,step8_unsupp,step9_isol,step9_unsupp,step10_isol,step10_unsupp,step11_isol,step11_unsupp,step12_isol,step12_unsupp,step13_isol,step13_unsupp,step14_isol,step14_unsupp,step15_isol,step15_unsupp,step16_isol,step16_unsupp,step17_isol,step17_unsupp,step18_isol,step18_unsupp,step19_isol,step19_unsupp,step20_isol,step20_unsupp,step21_isol,step21_unsupp,step22_isol,step22_unsupp,step23_isol,step23_unsupp,step24_isol,step24_unsupp,step25_isol,step25_unsupp,step26_isol,step26_unsupp,step27_isol,step27_unsupp,step28_isol,step28_unsupp,step29_isol,step29_unsupp,step30_isol,step30_unsupp,step31_isol,step31_unsupp,step32_isol,step32_unsupp,step33_isol,step33_unsupp,step34_isol,step34_unsupp,step35_isol,step35_unsupp,step36_isol,step36_unsupp,step37_isol,step37_unsupp,step38_isol,step38_unsupp,step39_isol,step39_unsupp,step40_isol,step40_unsupp,step41_isol,step41_unsupp,step42_isol,step42_unsupp,step43_isol,step43_unsupp,step44_isol,step44_unsupp,step45_isol,step45_unsupp,step46_isol,step46_unsupp,step47_isol,step47_unsupp,step48_isol,step48_unsupp,step49_isol,step49_unsupp,step50_isol,step50_unsupp,step51_isol,step51_unsupp,step52_isol,step52_unsupp
10926,2732,0.0755,2108,500,1332.5,1730.5,796,2,102,4,0.689065847,0.699223918,0.018066313,0.016445067,8.432,5.33,500,398,-0.009475256,0.479558962,0.479558962,0,100,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10927,2732,0.0755,2108,500,1387.5,1794.5,814,0,86,2,0.689065847,0.696607213,0.018066313,0.017639179,8.432,5.55,500,407,0.014132372,0.315875723,0.315875723,0,86,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10928,2733,0.0755,2053,500,1458,1861,806,0,94,2,0.685867664,0.694237564,0.607062349,0.614855118,8.212,5.832,500,403,0.601799088,0.400110265,0.241033186,0,94,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10929,2733,0.0755,2053,500,1440,1841,802,2,96,4,0.685867664,0.694237564,0.607062349,0.612277754,8.212,5.76,500,401,0.571199568,0.389832536,0.215598233,0,94,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10930,2733,0.0755,2053,500,1350.5,1752.5,804,1,95,4,0.685867664,0.694237564,0.016001295,0.016333145,8.212,5.402,499.5,402,-0.011034097,0.498089739,0.498089739,0,94,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10931,2733,0.0755,2053,500,1321.5,1721.5,800,3,97,4,0.685867664,0.694237564,0.016001295,0.016291271,8.212,5.286,499.5,400,-0.013944973,0.483620339,0.515266286,0,94,3,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10932,2734,0.0755,2107,500,1262,1622,720,43,137,6,0.692792558,0.695714862,0.608902506,0.601365926,8.428,5.048,498.5,360,0.54325557,0.274735557,0.274332745,3,94,35,3,0,35,5,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10933,2734,0.0755,2107,500,1509.5,1913.5,808,4,88,4,0.692792558,0.695714862,0.608902506,0.617425331,8.428,6.038,498.5,404,0.549008533,0.404826555,0.305360564,3,84,1,3,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10934,2734,0.0755,2107,500,1371.5,1773.5,804,1,95,3,0.692792558,0.695714862,0.016854032,0.016360585,8.428,5.486,499.5,402,-0.043640422,0.522967212,0.455830778,1,94,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10935,2734,0.0755,2107,500,1416,1822,812,2,86,4,0.692792558,0.695714862,0.016854032,0.015663946,8.428,5.664,499.5,406,-0.039243182,0.493994915,0.474783073,1,84,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
