,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step1_far_dead_node,step2_isol,step2_unsupp,step2_far_dead_node,step3_isol,step3_unsupp,step3_far_dead_node,step4_isol,step4_unsupp,step4_far_dead_node,step5_isol,step5_unsupp,step5_far_dead_node,step6_isol,step6_unsupp,step6_far_dead_node,step7_isol,step7_unsupp,step7_far_dead_node,step8_isol,step8_unsupp,step8_far_dead_node,step9_isol,step9_unsupp,step9_far_dead_node,step10_isol,step10_unsupp,step10_far_dead_node,step11_isol,step11_unsupp,step11_far_dead_node,step12_isol,step12_unsupp,step12_far_dead_node,step13_isol,step13_unsupp,step13_far_dead_node,step14_isol,step14_unsupp,step14_far_dead_node,step15_isol,step15_unsupp,step15_far_dead_node,step16_isol,step16_unsupp,step16_far_dead_node,step17_isol,step17_unsupp,step17_far_dead_node,step18_isol,step18_unsupp,step18_far_dead_node,step19_isol,step19_unsupp,step19_far_dead_node,step20_isol,step20_unsupp,step20_far_dead_node,step21_isol,step21_unsupp,step21_far_dead_node,step22_isol,step22_unsupp,step22_far_dead_node,step23_isol,step23_unsupp,step23_far_dead_node,step24_isol,step24_unsupp,step24_far_dead_node,step25_isol,step25_unsupp,step25_far_dead_node,step26_isol,step26_unsupp,step26_far_dead_node,step27_isol,step27_unsupp,step27_far_dead_node,step28_isol,step28_unsupp,step28_far_dead_node,step29_isol,step29_unsupp,step29_far_dead_node,step30_isol,step30_unsupp,step30_far_dead_node,step31_isol,step31_unsupp,step31_far_dead_node,step32_isol,step32_unsupp,step32_far_dead_node,step33_isol,step33_unsupp,step33_far_dead_node,step34_isol,step34_unsupp,step34_far_dead_node,step35_isol,step35_unsupp,step35_far_dead_node,step36_isol,step36_unsupp,step36_far_dead_node,step37_isol,step37_unsupp,step37_far_dead_node,step38_isol,step38_unsupp,step38_far_dead_node
165,42,0.0685,1697,500,0,0,0,332,268,6,0.688057099,0,0.613094861,0,6.788,0,493,0,0,0,0,86,206,0.672101506,218,16,0.700449049,22,45,0.648172798,5,1,0.512192506,1,0,0.52079486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,42,0.0685,1697,500,0,0,0,217,383,14,0.688057099,0,0.017058782,0,6.788,0,499,0,0,0,0,12,269,0.700449049,39,5,0.630441715,5,34,0.652355027,25,4,0.642526687,10,20,0.65546217,20,3,0.655080206,30,15,0.636447189,56,11,0.643614483,7,15,0.632563882,7,4,0.628676532,4,2,0.670684616,1,1,0.480140027,1,0,0.475807296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,42,0.0685,1697,500,82,154,144,118,338,16,0.688057099,0.672913593,0.017058782,0.018518519,6.788,0.328,499,72,-0.15235131,0.483406983,0.500309899,12,238,0.670684616,39,5,0.606785931,1,32,0.640474233,20,1,0.675665149,0,16,0.621965044,12,0,0.531118837,0,12,0.527763423,13,0,0.603682109,0,13,0.604434939,11,0,0.564166808,0,11,0.620423314,6,0,0.65546217,0,6,0.700449049,4,0,0.628676532,0,4,0.62490888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,43,0.0685,1736,500,0,0,0,475,125,7,0.692758986,0,0.606564033,0,6.944,0,482,0,0,0,0,392,96,0.701056876,71,19,0.678708246,10,6,0.545392506,0,2,0.526319861,2,0,0.520821697,0,2,0.537938894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,43,0.0685,1736,500,0,0,0,481,119,4,0.692758986,0,0.606564033,0,6.944,0,482,0,0,0,0,392,91,0.701056876,85,26,0.683034302,4,2,0.514388805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,43,0.0685,1736,500,0,0,0,193,407,10,0.692758986,0,0.011630059,0,6.944,0,500,0,0,0,0,8,278,0.684461097,56,5,0.701056876,4,46,0.654055187,49,2,0.637911697,0,42,0.629036306,65,0,0.678708246,0,31,0.672233309,11,0,0.599920435,0,3,0.684789156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,43,0.0685,1736,500,0,0,0,189,411,26,0.692758986,0,0.011630059,0,6.944,0,500,0,0,0,0,8,237,0.701056876,42,3,0.667379485,3,32,0.640542888,15,3,0.684789156,6,15,0.650640348,4,6,0.675195551,0,4,0.609507004,6,0,0.555216619,0,6,0.49482689,3,0,0.574925159,0,3,0.544737346,4,0,0.511537672,0,4,0.613791792,13,0,0.616365802,0,13,0.622709476,5,0,0.530816354,0,5,0.473959694,12,0,0.576908231,0,12,0.566493317,46,0,0.678708246,0,46,0.615827105,19,0,0.649693491,0,19,0.659892939,3,0,0.496255351,0,3,0.520821697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,44,0.0685,1773,500,0,0,0,436,164,6,0.691031843,0,0.608594396,0,7.092,0,496,0,0,0,0,311,119,0.691301833,87,19,0.690761854,28,16,0.657598248,9,7,0.55945218,1,3,0.461190164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,44,0.0685,1773,500,0,0,0,423,177,6,0.691031843,0,0.608594396,0,7.092,0,496,0,0,0,0,311,106,0.691301833,77,54,0.690761854,30,11,0.650790894,5,4,0.526589212,0,2,0.468683869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,44,0.0685,1773,500,90.5,167.5,154,105,341,14,0.691031843,0.690761854,0.012140114,0.025757576,7.092,0.362,500,77,-0.114827996,0.555167268,0.509466536,7,258,0.683233164,50,5,0.622947554,2,38,0.627248855,24,1,0.648982376,0,17,0.691301833,11,0,0.534806247,0,11,0.657418347,7,0,0.560850353,0,7,0.561809983,2,0,0.612966966,0,2,0.450774302,2,0,0.624113925,0,2,0.573587754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
