,rep,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0
1,0,413.0,476.3333333333333,489.0,477.6666666666667,470.3333333333333,474.6666666666667,469.6666666666667,469.3333333333333,485.3333333333333,493.6666666666667,498.3333333333333,499.6666666666667,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
2,1,415.3333333333333,470.6666666666667,483.3333333333333,477.0,478.3333333333333,471.0,473.6666666666667,471.3333333333333,487.3333333333333,495.0,498.3333333333333,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
3,2,408.0,478.3333333333333,483.0,474.0,476.3333333333333,465.6666666666667,474.0,469.6666666666667,487.6666666666667,496.3333333333333,497.0,499.3333333333333,499.6666666666667,500.0,500.0,500.0,500.0,500.0,500.0,500.0
4,3,412.6666666666667,485.0,484.6666666666667,477.6666666666667,468.6666666666667,467.6666666666667,469.6666666666667,476.3333333333333,485.0,495.6666666666667,497.6666666666667,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
5,4,416.6666666666667,478.0,479.3333333333333,477.6666666666667,481.3333333333333,465.3333333333333,467.6666666666667,474.0,491.3333333333333,492.3333333333333,498.3333333333333,499.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
6,5,421.3333333333333,484.6666666666667,482.3333333333333,482.3333333333333,465.6666666666667,473.6666666666667,470.6666666666667,475.6666666666667,491.6666666666667,496.0,497.6666666666667,498.3333333333333,499.6666666666667,500.0,500.0,500.0,500.0,500.0,500.0,500.0
7,6,410.0,482.6666666666667,486.3333333333333,474.3333333333333,474.0,469.6666666666667,467.0,474.3333333333333,488.3333333333333,496.0,499.0,499.3333333333333,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
8,7,417.0,475.3333333333333,482.3333333333333,478.3333333333333,473.3333333333333,470.6666666666667,471.6666666666667,471.3333333333333,482.3333333333333,496.0,497.6666666666667,499.3333333333333,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
9,8,417.3333333333333,478.3333333333333,486.3333333333333,477.6666666666667,472.3333333333333,476.0,471.6666666666667,476.0,487.0,495.0,498.0,499.3333333333333,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
10,9,419.3333333333333,482.3333333333333,483.3333333333333,482.3333333333333,475.3333333333333,464.3333333333333,468.6666666666667,478.3333333333333,480.3333333333333,494.0,497.3333333333333,499.3333333333333,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
11,10,406.0,485.6666666666667,487.3333333333333,480.6666666666667,475.3333333333333,471.0,471.3333333333333,467.0,484.3333333333333,494.6666666666667,497.0,499.3333333333333,499.6666666666667,500.0,500.0,500.0,500.0,500.0,500.0,500.0
12,11,408.0,482.6666666666667,484.0,479.3333333333333,470.3333333333333,473.3333333333333,465.6666666666667,469.3333333333333,481.3333333333333,492.3333333333333,497.0,499.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
13,12,413.0,482.0,483.3333333333333,479.6666666666667,481.6666666666667,468.6666666666667,473.6666666666667,472.0,484.3333333333333,495.6666666666667,497.3333333333333,498.6666666666667,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
14,13,416.0,477.3333333333333,480.0,477.3333333333333,470.6666666666667,468.3333333333333,467.3333333333333,473.6666666666667,487.0,495.6666666666667,498.3333333333333,499.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
15,14,412.0,479.0,483.6666666666667,476.0,471.3333333333333,466.3333333333333,467.3333333333333,481.3333333333333,484.3333333333333,496.6666666666667,497.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
16,15,413.3333333333333,477.6666666666667,482.6666666666667,473.6666666666667,472.6666666666667,469.6666666666667,472.3333333333333,476.0,491.0,494.3333333333333,498.3333333333333,499.3333333333333,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
17,16,418.0,486.3333333333333,480.0,480.6666666666667,467.3333333333333,469.3333333333333,471.3333333333333,473.0,488.6666666666667,495.6666666666667,496.3333333333333,498.3333333333333,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
18,17,407.3333333333333,480.0,481.6666666666667,477.3333333333333,477.0,471.6666666666667,472.6666666666667,470.3333333333333,484.0,496.3333333333333,498.3333333333333,499.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
19,18,416.0,476.0,488.6666666666667,478.6666666666667,478.0,473.6666666666667,471.6666666666667,471.6666666666667,483.6666666666667,496.0,496.6666666666667,499.0,499.6666666666667,500.0,500.0,500.0,500.0,500.0,500.0,500.0
20,19,422.6666666666667,475.6666666666667,483.6666666666667,475.3333333333333,477.3333333333333,470.0,471.0,470.6666666666667,483.6666666666667,498.0,498.0,499.6666666666667,499.6666666666667,500.0,500.0,500.0,500.0,500.0,500.0,500.0
21,20,418.6666666666667,476.6666666666667,486.3333333333333,475.3333333333333,473.0,459.6666666666667,467.3333333333333,469.3333333333333,477.6666666666667,496.0,497.6666666666667,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
22,21,412.6666666666667,476.6666666666667,486.0,487.0,469.0,464.3333333333333,470.6666666666667,472.0,487.0,493.3333333333333,497.6666666666667,498.6666666666667,499.6666666666667,500.0,500.0,500.0,500.0,500.0,500.0,500.0
