,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step1_far_dead_node,step2_isol,step2_unsupp,step2_far_dead_node,step3_isol,step3_unsupp,step3_far_dead_node,step4_isol,step4_unsupp,step4_far_dead_node,step5_isol,step5_unsupp,step5_far_dead_node,step6_isol,step6_unsupp,step6_far_dead_node,step7_isol,step7_unsupp,step7_far_dead_node,step8_isol,step8_unsupp,step8_far_dead_node,step9_isol,step9_unsupp,step9_far_dead_node,step10_isol,step10_unsupp,step10_far_dead_node,step11_isol,step11_unsupp,step11_far_dead_node,step12_isol,step12_unsupp,step12_far_dead_node,step13_isol,step13_unsupp,step13_far_dead_node,step14_isol,step14_unsupp,step14_far_dead_node,step15_isol,step15_unsupp,step15_far_dead_node,step16_isol,step16_unsupp,step16_far_dead_node,step17_isol,step17_unsupp,step17_far_dead_node,step18_isol,step18_unsupp,step18_far_dead_node,step19_isol,step19_unsupp,step19_far_dead_node,step20_isol,step20_unsupp,step20_far_dead_node,step21_isol,step21_unsupp,step21_far_dead_node,step22_isol,step22_unsupp,step22_far_dead_node
13,4,0.067,1699,500,1103,1480,754,28,118,6,0.694742977,0.680456253,0.605872928,0.600617383,6.796,4.412,495.5,377,0.523621534,0.339726419,0.247172048,9,92,0.69224239,12,7,0.609169468,0,12,0.637083459,7,0,0.697243564,0,7,0.536225676,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4,0.067,1699,500,1106,1504,796,5,99,4,0.694742977,0.697243564,0.013493112,0.011150449,6.796,4.424,499,398,-0.002601876,0.47328329,0.433780957,4,94,0.672670564,1,4,0.562254609,0,1,0.217048562,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4,0.067,1699,500,1081,1480,798,5,97,4,0.694742977,0.697243564,0.013493112,0.015045703,6.796,4.324,499,399,-0.026256847,0.50785131,0.381471964,4,93,0.69224239,1,3,0.604818744,0,1,0.41722958,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,5,0.067,1626.5,500,978,1341,726,43,131,8,0.675800243,0.664885212,0.598185308,0.597328766,6.506,3.912,493,363,0.529454002,0.420552339,0.442644207,16,89,0.686715273,14,15,0.663813121,5,14,0.612033112,3,5,0.586045892,1,3,0.480631145,4,1,0.470179229,0,4,0.582405965,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5,0.067,1626.5,500,1,3,4,430,466,12,0.675800243,0.455240924,0.598185308,0,6.506,0.004,493,2,nan,0.328184968,0.328184968,16,92,0.686715273,27,15,0.664885212,33,24,0.641633441,144,25,0.646363853,16,126,0.663698363,153,3,0.663813121,0,140,0.633143876,35,0,0.593132421,0,35,0.549166601,6,0,0.468233012,0,6,0.457372932,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,5,0.067,1626.5,500,1038,1441,806,2,92,4,0.675800243,0.686715273,0.008832839,0.009720745,6.506,4.152,500,403,-0.037086218,0.410635836,0.378274976,0,90,0.633143876,2,0,0.443637047,0,2,0.452642721,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5,0.067,1626.5,500,1060,1463,806,1,93,4,0.675800243,0.686715273,0.008832839,0.009829507,6.506,4.24,500,403,-0.041487347,0.233578024,0.358205819,0,92,0.650907218,1,0,0.569434015,0,1,0.524018789,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6,0.067,1676.5,500,913,1237,648,81,171,6,0.693884476,0.705109606,0.598314204,0.594048441,6.706,3.652,495.5,324,0.591946305,0.425057081,0.219955764,9,94,0.674486322,64,6,0.679437827,0,63,0.6480793,8,0,0.672012028,0,8,0.534341185,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,6,0.067,1676.5,500,0,0,0,567,333,9,0.693884476,0,0.598314204,0,6.706,0,495.5,0,0,0,0,9,88,0.658954044,176,6,0.682659345,45,121,0.679437827,269,18,0.705109606,4,88,0.615376406,62,0,0.633935805,0,12,0.295211366,2,0,0.256783434,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,6,0.067,1676.5,500,1074.5,1474.5,800,2,98,4,0.693884476,0.705109606,0.013286087,0.012408917,6.706,4.298,499.5,400,-0.021775467,0.564599325,0.480051874,1,96,0.674486322,1,1,0.588160138,0,1,0.471145343,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
