,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step2_isol,step2_unsupp,step3_isol,step3_unsupp,step4_isol,step4_unsupp,step5_isol,step5_unsupp,step6_isol,step6_unsupp,step7_isol,step7_unsupp,step8_isol,step8_unsupp,step9_isol,step9_unsupp,step10_isol,step10_unsupp,step11_isol,step11_unsupp,step12_isol,step12_unsupp,step13_isol,step13_unsupp,step14_isol,step14_unsupp,step15_isol,step15_unsupp,step16_isol,step16_unsupp,step17_isol,step17_unsupp,step18_isol,step18_unsupp,step19_isol,step19_unsupp,step20_isol,step20_unsupp,step21_isol,step21_unsupp,step22_isol,step22_unsupp,step23_isol,step23_unsupp,step24_isol,step24_unsupp,step25_isol,step25_unsupp,step26_isol,step26_unsupp,step27_isol,step27_unsupp,step28_isol,step28_unsupp,step29_isol,step29_unsupp,step30_isol,step30_unsupp,step31_isol,step31_unsupp,step32_isol,step32_unsupp,step33_isol,step33_unsupp,step34_isol,step34_unsupp,step35_isol,step35_unsupp,step36_isol,step36_unsupp,step37_isol,step37_unsupp,step38_isol,step38_unsupp,step39_isol,step39_unsupp,step40_isol,step40_unsupp,step41_isol,step41_unsupp,step42_isol,step42_unsupp,step43_isol,step43_unsupp
4191,1048,0.0638,545.5,300,321,535,428,36,76,7,0.669216823,0.665088666,0.009224821,0.013445705,3.636666667,2.14,290,214,-0.071167206,0.498404234,0.474624842,26,48,6,18,3,6,0,3,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4192,1049,0.0638,566.5,300,0,0,0,427,113,5,0.694998904,0,0.552289587,0,3.776666667,0,88,0,0,0,0,394,12,21,98,11,1,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4193,1049,0.0638,566.5,300,0,0,0,438,102,5,0.694998904,0,0.552289587,0,3.776666667,0,88,0,0,0,0,394,16,21,83,21,1,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4194,1049,0.0638,566.5,300,296.5,501.5,410,38,92,8,0.694998904,0.695910905,0.012273332,0.004390244,3.776666667,1.976666667,291,205,-0.019980014,0.515889452,0.515889452,22,57,7,19,4,7,2,4,1,2,2,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4195,1049,0.0638,566.5,300,308,514,412,40,88,10,0.694998904,0.695910905,0.012273332,0.010517799,3.776666667,2.053333333,291,206,-0.029960895,0.431697408,0.431697408,22,53,5,17,3,5,4,3,4,4,1,4,0,1,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4196,1050,0.0638,517,300,0,0,0,447,93,7,0.681841154,0,0.533172733,0,3.446666667,0,99,0,0,0,0,359,20,55,63,28,8,3,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4197,1050,0.0638,517,300,0,0,0,431,109,5,0.681841154,0,0.533172733,0,3.446666667,0,99,0,0,0,0,359,13,38,88,34,1,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4198,1050,0.0638,517,300,267,462,390,47,103,6,0.681841154,0.687604195,0.010104314,0.006532357,3.446666667,1.78,291,195,-0.014993472,0.314261467,0.335488655,25,59,13,23,3,12,6,3,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4199,1050,0.0638,517,300,286.5,491.5,410,42,88,7,0.681841154,0.677614187,0.010104314,0.007224158,3.446666667,1.91,291,205,-0.027627215,0.44901406,0.44901406,25,47,9,24,4,9,3,4,1,3,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4200,1051,0.0645,572.5,300,0,0,0,407,133,7,0.671779098,0,0.551112814,0,3.816666667,0,137.5,0,0,0,0,357,16,0,99,48,0,0,16,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
