,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step2_isol,step2_unsupp,step3_isol,step3_unsupp,step4_isol,step4_unsupp,step5_isol,step5_unsupp,step6_isol,step6_unsupp,step7_isol,step7_unsupp,step8_isol,step8_unsupp,step9_isol,step9_unsupp,step10_isol,step10_unsupp,step11_isol,step11_unsupp,step12_isol,step12_unsupp,step13_isol,step13_unsupp,step14_isol,step14_unsupp,step15_isol,step15_unsupp,step16_isol,step16_unsupp,step17_isol,step17_unsupp,step18_isol,step18_unsupp,step19_isol,step19_unsupp,step20_isol,step20_unsupp,step21_isol,step21_unsupp,step22_isol,step22_unsupp,step23_isol,step23_unsupp,step24_isol,step24_unsupp,step25_isol,step25_unsupp,step26_isol,step26_unsupp,step27_isol,step27_unsupp,step28_isol,step28_unsupp,step29_isol,step29_unsupp,step30_isol,step30_unsupp,step31_isol,step31_unsupp,step32_isol,step32_unsupp,step33_isol,step33_unsupp,step34_isol,step34_unsupp,step35_isol,step35_unsupp,step36_isol,step36_unsupp,step37_isol,step37_unsupp,step38_isol,step38_unsupp,step39_isol,step39_unsupp,step40_isol,step40_unsupp,step41_isol,step41_unsupp,step42_isol,step42_unsupp,step43_isol,step43_unsupp
0,1,0.04,208.5,300,0,0,0,511,29,3,0.694463395,0,0.329297399,0,1.39,0,14.5,0,0,0,0,511,2,0,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.04,208.5,300,0,0,0,511,29,3,0.694463395,0,0.329297399,0,1.39,0,14.5,0,0,0,0,511,0,0,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,0.04,208.5,300,0,0,0,429,111,5,0.694463395,0,0.005162242,0,1.39,0,151.5,0,0,0,0,343,18,34,85,50,2,2,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,0.04,208.5,300,0,0,0,417,123,6,0.694463395,0,0.005162242,0,1.39,0,151.5,0,0,0,0,343,15,36,96,36,2,0,10,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,0.04,193.5,300,0,0,0,524,16,4,0.69559295,0,0.282265512,0,1.29,0,9.5,0,0,0,0,521,2,2,14,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,0.04,193.5,300,0,0,0,526,14,3,0.69559295,0,0.282265512,0,1.29,0,9.5,0,0,0,0,521,4,5,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,0.04,193.5,300,0,0,0,431,109,5,0.69559295,0,0,0,1.29,0,134.5,0,0,0,0,380,11,17,90,34,0,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,0.04,193.5,300,0,0,0,426,114,5,0.69559295,0,0,0,1.29,0,134.5,0,0,0,0,380,16,17,93,28,2,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,0.04,230,300,0,0,0,513,27,3,0.677351711,0,0.32186738,0,1.533333333,0,13.5,0,0,0,0,513,1,0,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,0.04,230,300,0,0,0,516,24,3,0.677351711,0,0.32186738,0,1.533333333,0,13.5,0,0,0,0,513,3,3,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3,0.04,230,300,0,0,0,412,128,5,0.677351711,0,0.008433961,0,1.533333333,0,170.5,0,0,0,0,297,23,65,98,48,3,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3,0.04,230,300,0,0,0,418,122,5,0.677351711,0,0.008433961,0,1.533333333,0,170.5,0,0,0,0,297,29,64,88,54,2,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,0.04,228.5,300,0,0,0,509,31,3,0.677894866,0,0.333409665,0,1.523333333,0,15.5,0,0,0,0,509,0,0,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,0.04,228.5,300,0,0,0,518,22,5,0.677894866,0,0.333409665,0,1.523333333,0,15.5,0,0,0,0,509,6,7,15,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4,0.04,228.5,300,0,0,0,426,114,5,0.677894866,0,0.003545322,0,1.523333333,0,171,0,0,0,0,292,26,81,78,49,7,4,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4,0.04,228.5,300,0,0,0,406,134,5,0.677894866,0,0.003545322,0,1.523333333,0,171,0,0,0,0,292,27,66,93,43,6,5,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,5,0.04,230,300,0,0,0,517,23,3,0.669723564,0,0.356316425,0,1.533333333,0,13,0,0,0,0,514,3,3,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5,0.04,230,300,0,0,0,517,23,4,0.669723564,0,0.356316425,0,1.533333333,0,13,0,0,0,0,514,4,2,19,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,5,0.04,230,300,0,0,0,401,139,6,0.669723564,0,0.004098361,0,1.533333333,0,176,0,0,0,0,303,28,44,101,52,2,0,8,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5,0.04,230,300,0,0,0,418,122,6,0.669723564,0,0.004098361,0,1.533333333,0,176,0,0,0,0,303,18,54,92,58,3,1,9,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6,0.04,215,300,0,0,0,519,21,4,0.67605443,0,0.304674165,0,1.433333333,0,13,0,0,0,0,514,6,5,13,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,6,0.04,215,300,0,0,0,514,26,3,0.67605443,0,0.304674165,0,1.433333333,0,13,0,0,0,0,514,2,0,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,6,0.04,215,300,0,0,0,444,96,5,0.67605443,0,0,0,1.433333333,0,164,0,0,0,0,365,19,56,70,23,2,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6,0.04,215,300,0,0,0,452,88,6,0.67605443,0,0,0,1.433333333,0,164,0,0,0,0,365,19,65,67,19,1,2,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,7,0.04,219.5,300,0,0,0,521,19,3,0.687562309,0,0.328101465,0,1.463333333,0,11,0,0,0,0,518,1,3,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,7,0.04,219.5,300,0,0,0,519,21,3,0.687562309,0,0.328101465,0,1.463333333,0,11,0,0,0,0,518,3,1,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,7,0.04,219.5,300,0,0,0,431,109,5,0.687562309,0,0,0,1.463333333,0,139.5,0,0,0,0,336,29,73,74,21,4,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,7,0.04,219.5,300,0,0,0,443,97,6,0.687562309,0,0,0,1.463333333,0,139.5,0,0,0,0,336,17,79,69,21,9,3,2,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,8,0.04,206.5,300,0,0,0,523,17,3,0.672879049,0,0.369941138,0,1.376666667,0,9,0,0,0,0,522,3,1,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,8,0.04,206.5,300,0,0,0,526,14,3,0.672879049,0,0.369941138,0,1.376666667,0,9,0,0,0,0,522,2,4,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,8,0.04,206.5,300,0,0,0,469,71,5,0.672879049,0,0.004253835,0,1.376666667,0,108.5,0,0,0,0,416,16,42,50,11,1,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,8,0.04,206.5,300,0,0,0,445,95,6,0.672879049,0,0.004253835,0,1.376666667,0,108.5,0,0,0,0,416,14,16,78,11,0,0,3,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,9,0.04,229.5,300,0,0,0,523,17,3,0.659879684,0,0.344676012,0,1.53,0,15,0,0,0,0,518,2,5,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,9,0.04,229.5,300,0,0,0,520,20,3,0.659879684,0,0.344676012,0,1.53,0,15,0,0,0,0,518,4,2,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,9,0.04,229.5,300,0,0,0,428,112,5,0.659879684,0,0.006488691,0,1.53,0,177.5,0,0,0,0,289,25,81,78,54,5,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9,0.04,229.5,300,0,0,0,416,124,7,0.659879684,0,0.006488691,0,1.53,0,177.5,0,0,0,0,289,21,74,90,46,6,3,6,2,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,10,0.04,224,300,0,0,0,519,21,4,0.670671599,0,0.331094134,0,1.493333333,0,17,0,0,0,0,515,2,2,19,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,10,0.04,224,300,0,0,0,522,18,4,0.670671599,0,0.331094134,0,1.493333333,0,17,0,0,0,0,515,2,5,16,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,10,0.04,224,300,0,0,0,393,147,6,0.670671599,0,0.009219858,0,1.493333333,0,173,0,0,0,0,264,32,67,96,58,6,3,13,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,10,0.04,224,300,0,0,0,413,127,6,0.670671599,0,0.009219858,0,1.493333333,0,173,0,0,0,0,264,26,73,85,72,5,3,11,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,11,0.04,218.5,300,0,0,0,524,16,4,0.666256525,0,0.34545062,0,1.456666667,0,11,0,0,0,0,520,2,2,14,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,11,0.04,218.5,300,0,0,0,524,16,4,0.666256525,0,0.34545062,0,1.456666667,0,11,0,0,0,0,520,5,3,11,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11,0.04,218.5,300,0,0,0,434,106,6,0.666256525,0,0.006515775,0,1.456666667,0,150,0,0,0,0,336,20,52,80,41,5,4,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,11,0.04,218.5,300,0,0,0,401,139,5,0.666256525,0,0.006515775,0,1.456666667,0,150,0,0,0,0,336,23,16,105,49,1,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,12,0.04,232,300,0,0,0,508,32,4,0.662316797,0,0.342813447,0,1.546666667,0,18,0,0,0,0,504,1,0,31,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,12,0.04,232,300,0,0,0,510,30,3,0.662316797,0,0.342813447,0,1.546666667,0,18,0,0,0,0,504,2,6,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,12,0.04,232,300,0,0,0,440,100,6,0.662316797,0,0.00106383,0,1.546666667,0,189,0,0,0,0,233,32,128,47,67,16,11,5,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,12,0.04,232,300,0,0,0,393,147,5,0.662316797,0,0.00106383,0,1.546666667,0,189,0,0,0,0,233,29,57,107,102,3,1,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,13,0.04,216.5,300,0,0,0,520,20,4,0.677920004,0,0.352937826,0,1.443333333,0,11,0,0,0,0,518,0,0,20,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,13,0.04,216.5,300,0,0,0,520,20,4,0.677920004,0,0.352937826,0,1.443333333,0,11,0,0,0,0,518,1,0,19,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,13,0.04,216.5,300,0,0,0,437,103,5,0.677920004,0,0.002923977,0,1.443333333,0,138,0,0,0,0,342,26,79,68,14,9,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,13,0.04,216.5,300,0,0,0,427,113,6,0.677920004,0,0.002923977,0,1.443333333,0,138,0,0,0,0,342,19,58,86,22,3,5,3,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,14,0.04,218.5,300,0,0,0,521,19,4,0.667077363,0,0.306609195,0,1.456666667,0,12,0,0,0,0,517,2,2,17,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,14,0.04,218.5,300,0,0,0,518,22,3,0.667077363,0,0.306609195,0,1.456666667,0,12,0,0,0,0,517,1,1,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,14,0.04,218.5,300,0,0,0,440,100,6,0.667077363,0,0.001876877,0,1.456666667,0,169.5,0,0,0,0,331,25,77,66,29,5,3,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,14,0.04,218.5,300,0,0,0,409,131,5,0.667077363,0,0.001876877,0,1.456666667,0,169.5,0,0,0,0,331,14,30,110,47,4,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,15,0.04,215.5,300,0,0,0,523,17,4,0.689846336,0,0.316530028,0,1.436666667,0,12,0,0,0,0,519,1,3,16,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,15,0.04,215.5,300,0,0,0,521,19,4,0.689846336,0,0.316530028,0,1.436666667,0,12,0,0,0,0,519,1,0,18,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,15,0.04,215.5,300,0,0,0,428,112,6,0.689846336,0,0.002753623,0,1.436666667,0,169.5,0,0,0,0,330,25,57,78,39,2,1,7,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,15,0.04,215.5,300,0,0,0,423,117,5,0.689846336,0,0.002753623,0,1.436666667,0,169.5,0,0,0,0,330,18,37,89,55,2,1,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,16,0.04,225,300,0,0,0,518,22,5,0.690071019,0,0.334635154,0,1.5,0,17,0,0,0,0,509,3,6,17,3,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,16,0.04,225,300,0,0,0,516,24,4,0.690071019,0,0.334635154,0,1.5,0,17,0,0,0,0,509,5,5,19,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,16,0.04,225,300,0,0,0,413,127,6,0.690071019,0,0,0,1.5,0,184.5,0,0,0,0,270,25,70,86,67,1,1,15,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,16,0.04,225,300,0,0,0,434,106,5,0.690071019,0,0,0,1.5,0,184.5,0,0,0,0,270,25,111,69,49,5,4,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,17,0.04,206,300,0,0,0,522,18,3,0.681121341,0,0.320326685,0,1.373333333,0,15.5,0,0,0,0,516,3,6,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,17,0.04,206,300,0,0,0,521,19,3,0.681121341,0,0.320326685,0,1.373333333,0,15.5,0,0,0,0,516,2,5,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,17,0.04,206,300,0,0,0,407,133,5,0.681121341,0,0.005172414,0,1.373333333,0,119.5,0,0,0,0,352,18,24,108,30,1,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,17,0.04,206,300,0,0,0,448,92,5,0.681121341,0,0.005172414,0,1.373333333,0,119.5,0,0,0,0,352,18,76,71,18,3,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,18,0.04,210,300,0,0,0,522,18,4,0.688049922,0,0.280503652,0,1.4,0,11,0,0,0,0,518,1,3,17,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,18,0.04,210,300,0,0,0,520,20,4,0.688049922,0,0.280503652,0,1.4,0,11,0,0,0,0,518,0,0,20,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,18,0.04,210,300,0,0,0,436,104,5,0.688049922,0,0,0,1.4,0,157,0,0,0,0,334,24,74,76,25,4,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,18,0.04,210,300,0,0,0,439,101,5,0.688049922,0,0,0,1.4,0,157,0,0,0,0,334,20,85,74,16,4,4,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,19,0.04,219.5,300,0,0,0,525,15,4,0.678110242,0,0.368470403,0,1.463333333,0,12.5,0,0,0,0,520,6,3,9,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,19,0.04,219.5,300,0,0,0,522,18,3,0.678110242,0,0.368470403,0,1.463333333,0,12.5,0,0,0,0,520,2,2,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,19,0.04,219.5,300,0,0,0,412,128,6,0.678110242,0,0.009212377,0,1.463333333,0,169,0,0,0,0,313,15,45,105,50,4,1,4,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,19,0.04,219.5,300,0,0,0,424,116,5,0.678110242,0,0.009212377,0,1.463333333,0,169,0,0,0,0,313,21,68,82,42,4,1,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,20,0.04,207.5,300,0,0,0,522,18,3,0.685560023,0,0.343284891,0,1.383333333,0,12.5,0,0,0,0,515,4,7,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,20,0.04,207.5,300,0,0,0,516,24,3,0.685560023,0,0.343284891,0,1.383333333,0,12.5,0,0,0,0,515,2,1,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,20,0.04,207.5,300,0,0,0,455,85,5,0.685560023,0,0.009385136,0,1.383333333,0,143.5,0,0,0,0,365,18,67,63,21,4,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,20,0.04,207.5,300,0,0,0,430,110,6,0.685560023,0,0.009385136,0,1.383333333,0,143.5,0,0,0,0,365,15,17,90,45,3,2,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,21,0.04,217,300,0,0,0,511,29,6,0.671508116,0,0.293618846,0,1.446666667,0,16.5,0,0,0,0,507,2,0,25,2,0,0,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,21,0.04,217,300,0,0,0,509,31,4,0.671508116,0,0.293618846,0,1.446666667,0,16.5,0,0,0,0,507,1,0,30,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,21,0.04,217,300,0,0,0,432,108,6,0.671508116,0,0,0,1.446666667,0,173,0,0,0,0,283,33,94,60,46,9,8,6,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,21,0.04,217,300,0,0,0,433,107,5,0.671508116,0,0,0,1.446666667,0,173,0,0,0,0,283,28,96,66,48,8,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,22,0.04,217,300,0,0,0,512,28,3,0.689312407,0,0.356478195,0,1.446666667,0,14,0,0,0,0,512,3,0,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
