3,0.02,610,1000,0,0,0,1638,162,5,0.695040165,0,0.001646118,0,1.22,0,312,0,-0.000146183,0,0,0,1584,13,0.698850986,34,147,0.674846426,20,0,0.674900018,0,2,0.525300894,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.02,610,1000,0,0,0,1671,129,4,0.695040165,0,0.001646118,0,1.22,0,312,0,-0.000146183,0,0,0,1584,24,0.698850986,75,105,0.674900018,12,0,0.517958422,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.02,635,1000,0,0,0,1775,25,3,0.695199096,0,0.322146208,0,1.27,0,13.5,0,0.612718517,0,0,0,1773,3,0.702395048,2,22,0.339770959,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.02,635,1000,0,0,0,1773,27,3,0.695199096,0,0.322146208,0,1.27,0,13.5,0,0.612718517,0,0,0,1773,1,0.702395048,0,26,0.339770959,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.02,635,1000,0,0,0,1495,305,5,0.695199096,0,0,0,1.27,0,368.5,0,-0.070932773,0,0,0,1358,21,0.702395048,50,276,0.693548112,85,1,0.641776258,2,7,0.549967938,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.02,635,1000,0,0,0,1584,216,5,0.695199096,0,0,0,1.27,0,368.5,0,-0.070932773,0,0,0,1358,40,0.702395048,184,173,0.693548112,41,3,0.600430027,1,0,0.38375198,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.02,628.5,1000,0,0,0,1780,20,3,0.699011472,0,0.303842692,0,1.257,0,11,0,0.612132317,0,0,0,1778,2,0.700776863,2,18,0.456375191,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.02,628.5,1000,0,0,0,1778,22,3,0.699011472,0,0.303842692,0,1.257,0,11,0,0.612132317,0,0,0,1778,0,0.700776863,0,22,0.456375191,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.02,628.5,1000,0,0,0,1674,126,5,0.699011472,0,0.001001431,0,1.257,0,418,0,-0.016585736,0,0,0,1498,17,0.700776863,159,108,0.680949821,16,1,0.626387761,1,0,0.465875943,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.02,628.5,1000,0,0,0,1655,145,6,0.699011472,0,0.001001431,0,1.257,0,418,0,-0.016585736,0,0,0,1498,37,0.700776863,140,106,0.679455276,15,1,0.680949821,1,1,0.428591341,1,0,0.431396035,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
