,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step2_isol,step2_unsupp,step3_isol,step3_unsupp,step4_isol,step4_unsupp,step5_isol,step5_unsupp,step6_isol,step6_unsupp,step7_isol,step7_unsupp,step8_isol,step8_unsupp,step9_isol,step9_unsupp,step10_isol,step10_unsupp,step11_isol,step11_unsupp,step12_isol,step12_unsupp,step13_isol,step13_unsupp,step14_isol,step14_unsupp,step15_isol,step15_unsupp,step16_isol,step16_unsupp,step17_isol,step17_unsupp,step18_isol,step18_unsupp,step19_isol,step19_unsupp,step20_isol,step20_unsupp,step21_isol,step21_unsupp,step22_isol,step22_unsupp,step23_isol,step23_unsupp,step24_isol,step24_unsupp,step25_isol,step25_unsupp,step26_isol,step26_unsupp,step27_isol,step27_unsupp,step28_isol,step28_unsupp,step29_isol,step29_unsupp,step30_isol,step30_unsupp,step31_isol,step31_unsupp,step32_isol,step32_unsupp,step33_isol,step33_unsupp,step34_isol,step34_unsupp,step35_isol,step35_unsupp,step36_isol,step36_unsupp
358,90,0.07400000000000002,1946.5,500.0,0,0.0,0,409,491,18,0.6878050091310837,0,0.6054459382121147,0,7.786,0.0,493.5,0,0,0,0,13,91,102,7,1,99,10,1,0,10,3,0,0,3,40,0,0,40,92,0,0,92,99,0,0,99,42,0,0,42,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,90,0.07400000000000002,1946.5,500.0,1274,1675.0,802,2,96,3,0.6878050091310837,0.6851128652881716,0.014391368925192436,0.013505767686106304,7.786,5.096,500,401,-0.023134473376354804,0.46177432539963437,0.448063738113727,2,94,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,90,0.07400000000000002,1946.5,500.0,1225.5,1625.5,800,3,97,4,0.6878050091310837,0.696577755635076,0.014391368925192436,0.013792788351998868,7.786,4.902,500,400,-0.019700526547524785,0.46177432539963437,0.46177432539963437,2,94,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,91,0.07600000000000003,2116.0,500.0,1469,1863.0,788,8,104,4,0.6774022377288749,0.6749253586632115,0.610817029539088,0.6119967490208607,8.464,5.8759999999999994,499,394,0.6264709969117499,0.3497908098824293,0.3245161525523068,2,96,6,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,91,0.07600000000000003,2116.0,500.0,1483,1882.0,798,6,96,4,0.6774022377288749,0.6749253586632115,0.610817029539088,0.615069509994322,8.464,5.932,499,399,0.550070465138421,0.3669663805779302,0.35309093352440446,2,90,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,91,0.07600000000000003,2116.0,500.0,1355,1757.0,804,0,96,2,0.6774022377288749,0.6952176221543437,0.018425038489202572,0.017583114784607307,8.464,5.42,500,402,-0.03685111918256001,0.5012662756919246,0.3609346467901936,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,91,0.07600000000000003,2116.0,500.0,1385,1790.0,810,0,90,2,0.6774022377288749,0.6952176221543437,0.018425038489202572,0.01666466189342005,8.464,5.54,500,405,-0.01826860436674307,0.42237767790073644,0.42237767790073644,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,92,0.07600000000000003,2146.0,500.0,1477,1872.0,790,6,104,4,0.6926878489761135,0.6916530137047538,0.6023823483448092,0.6033240669316614,8.584,5.9079999999999995,500,395,0.5831256401715369,0.32682329384144904,0.3413249463960382,2,98,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,92,0.07600000000000003,2146.0,500.0,1503,1907.0,808,2,90,3,0.6926878489761135,0.7001742729921165,0.6023823483448092,0.6053574828636709,8.584,6.0120000000000005,500,404,0.6278512577330129,0.4164257227942735,0.2907591287343334,2,88,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,92,0.07600000000000003,2146.0,500.0,1388,1788.0,800,1,99,4,0.6926878489761135,0.7001742729921165,0.014852628580569738,0.01679809773559772,8.584,5.552,500,400,-0.01906164527530058,0.2992355901247456,0.31732929113453495,0,98,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,92,0.07600000000000003,2146.0,500.0,1432.5,1837.5,810,1,89,4,0.6926878489761135,0.7001742729921165,0.014852628580569738,0.01628547035954441,8.584,5.73,500,405,-0.011869981846775107,0.31774108626127,0.31774108626127,0,88,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,93,0.07600000000000003,2146.5,500.0,1432,1822.0,780,16,104,4,0.6895672897244074,0.6948825073668329,0.6301987345042296,0.6287093675555212,8.585999999999999,5.728,492.5,390,0.5860584077679254,0.35062253393695053,0.24386349603747076,15,90,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,93,0.07600000000000003,2146.5,500.0,1453.5,1847.5,788,17,95,4,0.6895672897244074,0.6950781806664804,0.6301987345042296,0.6344507227121443,8.585999999999999,5.814,492.5,394,0.6359890100582898,0.35062253393695053,0.22995186602995465,15,80,2,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,93,0.07600000000000003,2146.5,500.0,1369,1772.0,806,1,93,4,0.6895672897244074,0.6948825073668329,0.018156443882914458,0.01894593061662408,8.585999999999999,5.476,500,403,0.010411988349975775,0.4355292178484889,0.5289196820975341,0,92,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,93,0.07600000000000003,2146.5,500.0,1415.5,1823.5,816,1,83,4,0.6895672897244074,0.6950781806664804,0.018156443882914458,0.016751275613504698,8.585999999999999,5.662,500,408,0.0036479852225058027,0.5655746972467095,0.6341948177862907,0,82,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,94,0.07600000000000003,2094.5,500.0,1465,1865.0,800,3,97,3,0.697705678525939,0.7019660342255639,0.6193845351999707,0.623573154174257,8.378,5.86,499.5,400,0.585277904851302,0.26414316911187846,0.2590711702464158,3,94,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,94,0.07600000000000003,2094.5,500.0,1429.5,1826.5,794,7,99,4,0.697705678525939,0.7019660342255639,0.6193845351999707,0.6161362566904124,8.378,5.718,499.5,397,0.5769855071000434,0.4641242875340661,0.2637187906005068,3,92,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,94,0.07600000000000003,2094.5,500.0,1340.5,1740.5,800,3,97,4,0.697705678525939,0.7019660342255639,0.016767758024845186,0.017955967643467623,8.378,5.362,499,400,-0.015192990982084752,0.4066562901588774,0.3693779771705811,2,94,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,94,0.07600000000000003,2094.5,500.0,1356.5,1758.5,804,3,93,5,0.697705678525939,0.7019660342255639,0.016767758024845186,0.017411782523722802,8.378,5.426,499,402,-0.0028598501475376736,0.44717148823683095,0.44717148823683095,2,91,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,95,0.07600000000000003,2117.0,500.0,1463,1862.0,798,2,100,4,0.6779267621259485,0.6806393206348285,0.5969786902124357,0.6019263812514357,8.468,5.852,500,399,0.6077655648329099,0.37853348890365307,0.308302405528439,0,98,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,95,0.07600000000000003,2117.0,500.0,1464.5,1865.5,802,2,96,4,0.6779267621259485,0.6806393206348285,0.5969786902124357,0.6033209997343782,8.468,5.8580000000000005,500,401,0.5971624363542211,0.36333211493516343,0.3160758721417405,0,94,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
