,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step1_far_dead_node,step2_isol,step2_unsupp,step2_far_dead_node,step3_isol,step3_unsupp,step3_far_dead_node,step4_isol,step4_unsupp,step4_far_dead_node,step5_isol,step5_unsupp,step5_far_dead_node,step6_isol,step6_unsupp,step6_far_dead_node,step7_isol,step7_unsupp,step7_far_dead_node,step8_isol,step8_unsupp,step8_far_dead_node,step9_isol,step9_unsupp,step9_far_dead_node,step10_isol,step10_unsupp,step10_far_dead_node,step11_isol,step11_unsupp,step11_far_dead_node,step12_isol,step12_unsupp,step12_far_dead_node,step13_isol,step13_unsupp,step13_far_dead_node,step14_isol,step14_unsupp,step14_far_dead_node,step15_isol,step15_unsupp,step15_far_dead_node,step16_isol,step16_unsupp,step16_far_dead_node,step17_isol,step17_unsupp,step17_far_dead_node,step18_isol,step18_unsupp,step18_far_dead_node,step19_isol,step19_unsupp,step19_far_dead_node,step20_isol,step20_unsupp,step20_far_dead_node,step21_isol,step21_unsupp,step21_far_dead_node,step22_isol,step22_unsupp,step22_far_dead_node
255,64,0.095,3227,500,423,600,354,4,242,4,0.686136828,0.689456209,0.026691367,0.025538429,12.908,1.692,500,177,-0.015462002,0.464600789,0.422047205,2,238,0.680481124,2,2,0.541397727,0,2,0.536305781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,65,0.095,3301.5,500,5.5,10.5,10,200,390,8,0.697255664,0.592441537,0.62307135,0.6,13.206,0.022,500,5,-0.53125,0.506013669,0.506013669,0,282,0.692939994,164,0,0.682366403,0,72,0.665193536,26,0,0.556654236,0,26,0.657560324,10,0,0.636611659,0,10,0.701571335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,65,0.095,3301.5,500,1,3,4,229,367,8,0.697255664,0.419826756,0.62307135,0,13.206,0.004,500,2,nan,0.411927925,0.411927925,0,228,0.701571335,127,0,0.692939994,0,101,0.643056971,98,0,0.672234573,0,34,0.575352058,4,0,0.535955345,0,4,0.476963699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,65,0.095,3301.5,500,333.5,486.5,306,7,287,4,0.697255664,0.701571335,0.025219258,0.02158136,13.206,1.334,500,153,-0.031590513,0.539636084,0.539636084,2,281,0.692939994,5,1,0.556654236,0,5,0.657560324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,65,0.095,3301.5,500,456,639,366,4,230,4,0.697255664,0.692939994,0.025219258,0.01991433,13.206,1.824,500,183,-0.017349415,0.426792346,0.431862132,2,227,0.701571335,2,1,0.533485523,0,2,0.465495332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,66,0.095,3268,500,1,3,4,182,414,8,0.681821469,0.5401505,0.609307126,0,13.072,0.004,500,2,nan,0.455828715,0.455828715,0,276,0.665357533,150,0,0.698285406,0,122,0.670807863,29,0,0.649358559,0,15,0.641040193,3,0,0.651751919,0,1,0.480090248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,66,0.095,3268,500,2,5,6,187,407,12,0.681821469,0.571519518,0.609307126,0,13.072,0.008,500,3,-1,0.456790236,0.456790236,0,220,0.684830104,96,0,0.654327438,0,96,0.698285406,75,0,0.642555762,0,75,0.664778779,12,0,0.650955957,0,12,0.554276439,3,0,0.436964979,0,3,0.613234076,1,0,0.545548867,0,1,0.477087083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,66,0.095,3268,500,321,477,312,6,282,4,0.681821469,0.698285406,0.025652605,0.018289581,13.072,1.284,500,156,-0.072228996,0.520276791,0.429813913,0,276,0.665357533,6,0,0.62900814,0,6,0.621571401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,66,0.095,3268,500,484.5,673.5,378,1,221,4,0.681821469,0.698285406,0.025652605,0.017230697,13.072,1.938,500,189,-0.022805633,0.563372994,0.477428107,0,220,0.684830104,1,0,0.367047985,0,1,0.379914152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,67,0.095,3231,500,7.5,13.5,12,176,412,8,0.692258802,0.656581968,0.625108219,0.5,12.924,0.03,500,6,-0.045454545,0.518678993,0.546209514,0,280,0.690886528,118,0,0.695228335,0,90,0.689289269,49,0,0.621742274,0,33,0.666379818,9,0,0.640251089,0,9,0.626323489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,67,0.095,3231,500,1,3,4,224,372,12,0.692258802,0.542474882,0.625108219,0,12.924,0.004,500,2,nan,0.502462854,0.502462854,0,240,0.695228335,160,0,0.656581968,0,90,0.690886528,48,0,0.689289269,0,26,0.629607761,7,0,0.498676487,0,7,0.546614031,6,0,0.502554576,0,6,0.526460702,3,0,0.508893107,0,3,0.597259234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,67,0.095,3231,500,301,455,308,6,286,4,0.692258802,0.695228335,0.027084219,0.025840033,12.924,1.204,500,154,0.041122397,0.41263257,0.483798139,0,280,0.690886528,6,0,0.629607761,0,6,0.586229625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,67,0.095,3231,500,418,598,360,0,240,2,0.692258802,0.690886528,0.027084219,0.025800465,12.924,1.672,500,180,0.02104306,0.474220959,0.474220959,0,240,0.695228335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,68,0.095,3367,500,2,5,6,175,419,12,0.687893073,0.479076403,0.613520427,0,13.468,0.008,500,3,-1,0.419839525,0.419839525,0,294,0.700175279,93,0,0.66073837,0,81,0.658590722,58,0,0.609977548,0,22,0.585413072,14,0,0.571620375,0,12,0.631938623,5,0,0.642381374,0,5,0.499193644,5,0,0.577977797,0,5,0.452589454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,68,0.095,3367,500,1,3,4,168,428,12,0.687893073,0.571708132,0.613520427,0,13.468,0.004,500,2,nan,0.471431075,0.471431075,0,260,0.700175279,15,0,0.559870761,0,15,0.585413072,63,0,0.641225132,0,63,0.675610866,57,0,0.660307796,0,57,0.634218188,29,0,0.696220108,0,29,0.617482063,4,0,0.492622945,0,4,0.644325726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,68,0.095,3367,500,317,466,298,4,298,4,0.687893073,0.66073837,0.027934472,0.027127217,13.468,1.268,500,149,0.0371932,0.388150229,0.388150229,0,294,0.700175279,4,0,0.486602632,0,4,0.458168127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,68,0.095,3367,500,380,549,338,1,261,4,0.687893073,0.696220108,0.027934472,0.0292782,13.468,1.52,500,169,0.003257292,0.517522556,0.550119998,0,260,0.700175279,1,0,0.364348861,0,1,0.358324883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,69,0.095,3264.5,500,0,0,0,160,440,18,0.691992973,0,0.621745171,0,13.058,0,500,0,0,0,0,0,282,0.704004695,70,0,0.679981252,0,68,0.620960627,40,0,0.577192552,0,40,0.66153548,5,0,0.590931663,0,5,0.436577977,22,0,0.672884579,0,22,0.650646572,16,0,0.641768983,0,16,0.631237191,3,0,0.64630415,0,3,0.458421704,2,0,0.405328597,0,2,0.461809156,2,0,0.488257254,0,2,0.488182179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,69,0.095,3264.5,500,0,0,0,176,424,12,0.691992973,0,0.621745171,0,13.058,0,500,0,0,0,0,0,248,0.704004695,91,0,0.679981252,0,91,0.627545995,60,0,0.591860565,0,60,0.651059466,17,0,0.644405061,0,17,0.672884579,6,0,0.669068867,0,6,0.521367359,2,0,0.58402473,0,2,0.543358552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
