,rep,intra_thres,init_intra_edge,init_supp_edge,fin_intra_edge,fin_supp_edge,alive_nodes,tot_isol_node,tot_unsupp_node,cas_steps,init_far_node,fin_far_node,init_clust,fin_clust,init_mean_deg,fin_mean_deg,init_larg_comp,fin_larg_comp,deg_assort,dist_deg_cent,dist_bet_cent,step1_isol,step1_unsupp,step2_isol,step2_unsupp,step3_isol,step3_unsupp,step4_isol,step4_unsupp,step5_isol,step5_unsupp,step6_isol,step6_unsupp,step7_isol,step7_unsupp,step8_isol,step8_unsupp,step9_isol,step9_unsupp,step10_isol,step10_unsupp,step11_isol,step11_unsupp,step12_isol,step12_unsupp,step13_isol,step13_unsupp,step14_isol,step14_unsupp,step15_isol,step15_unsupp,step16_isol,step16_unsupp,step17_isol,step17_unsupp,step18_isol,step18_unsupp,step19_isol,step19_unsupp,step20_isol,step20_unsupp,step21_isol,step21_unsupp,step22_isol,step22_unsupp,step23_isol,step23_unsupp,step24_isol,step24_unsupp,step25_isol,step25_unsupp,step26_isol,step26_unsupp
698,175,0.10800000000000005,1460.0,300.0,934.5,1176.5,484,0,56,2,0.6950597640380927,0.703904278083528,0.034889888405368254,0.035827332676506195,9.733333333333334,6.23,300,242,-0.01587458574770621,0.5274182541652975,0.37933362924662717,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,175,0.10800000000000005,1460.0,300.0,934,1177.0,486,0,54,2,0.6950597640380927,0.6862152499926573,0.034889888405368254,0.035122205183933546,9.733333333333334,6.226666666666667,300,243,-0.027134834894317093,0.2334922177742933,0.5110857391572539,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,176,0.11000000000000006,1510.5,300.0,1016.5,1256.5,480,1,59,4,0.6959546605069542,0.6986760932219779,0.6019197812564687,0.6243751941821795,10.07,6.776666666666666,300,240,0.5218081489301531,0.42935153609961996,0.24361809498719778,0,58,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,176,0.11000000000000006,1510.5,300.0,1058,1305.0,494,0,46,2,0.6959546605069542,0.6986760932219779,0.6019197812564687,0.61257897324818,10.07,7.053333333333334,300,247,0.5083096386776143,0.3794368873596096,0.23920296310867084,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702,176,0.11000000000000006,1510.5,300.0,991,1232.0,482,0,58,2,0.6959546605069542,0.6986760932219779,0.03371220755508679,0.03453431828317813,10.07,6.6066666666666665,300,241,0.014490598915882273,0.41666791403899694,0.41666791403899694,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,176,0.11000000000000006,1510.5,300.0,1049,1296.0,494,0,46,2,0.6959546605069542,0.6986760932219779,0.03371220755508679,0.035485932405155005,10.07,6.993333333333334,300,247,0.010591743348364283,0.5657439794214623,0.5657439794214623,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
704,177,0.11000000000000006,1523.0,300.0,1058,1299.0,482,1,57,4,0.6702910859299158,0.6882902589904834,0.6232291880089869,0.6363121800307867,10.153333333333332,7.053333333333333,300,241,0.4808961815701099,0.43604704935646244,0.3127840314733388,0,56,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,177,0.11000000000000006,1523.0,300.0,1040.5,1281.5,482,0,58,2,0.6702910859299158,0.6882902589904834,0.6232291880089869,0.640021956997793,10.153333333333332,6.936666666666667,300,241,0.5088031907687431,0.398645023246898,0.2830494564047207,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
706,177,0.11000000000000006,1523.0,300.0,974,1216.0,484,0,56,2,0.6702910859299158,0.6882902589904834,0.03530677942342027,0.035776551946945685,10.153333333333332,6.493333333333334,300,242,-0.003269973843720214,0.4467856791855594,0.4467856791855594,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707,177,0.11000000000000006,1523.0,300.0,949,1189.0,480,1,59,4,0.6702910859299158,0.6882902589904834,0.03530677942342027,0.03561375576178204,10.153333333333332,6.326666666666666,300,240,0.03326383724586944,0.4584925826654639,0.4584925826654639,0,58,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
