7,0.03,345.5,500,0,0,0,878,22,4,0.68400993,0,0.299710025,0,1.382,0,12,0,0,0,0,876,1,0,21,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.03,345.5,500,0,0,0,876,24,3,0.68400993,0,0.299710025,0,1.382,0,12,0,0,0,0,876,0,0,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.03,345.5,500,0,0,0,703,197,5,0.68400993,0,0,0,1.382,0,275,0,0,0,0,627,29,35,163,41,1,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.03,345.5,500,0,0,0,709,191,6,0.68400993,0,0,0,1.382,0,275,0,0,0,0,627,21,37,164,41,0,0,6,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.03,363,500,0,0,0,873,27,4,0.686895567,0,0.315577423,0,1.452,0,16,0,0,0,0,868,4,3,23,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.03,363,500,0,0,0,874,26,3,0.686895567,0,0.315577423,0,1.452,0,16,0,0,0,0,868,2,6,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.03,363,500,0,0,0,693,207,5,0.686895567,0,0.001085069,0,1.452,0,276.5,0,0,0,0,525,58,101,139,66,3,1,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.03,363,500,0,0,0,746,154,7,0.686895567,0,0.001085069,0,1.452,0,276.5,0,0,0,0,525,44,145,99,74,5,0,4,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.03,337,500,0,0,0,876,24,3,0.68343214,0,0.299441082,0,1.348,0,14,0,0,0,0,872,3,4,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.03,337,500,0,0,0,872,28,3,0.68343214,0,0.299441082,0,1.348,0,14,0,0,0,0,872,1,0,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.03,337,500,0,0,0,792,108,5,0.68343214,0,0.002240143,0,1.348,0,217,0,0,0,0,572,34,198,63,21,11,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.03,337,500,0,0,0,742,158,4,0.68343214,0,0.002240143,0,1.348,0,217,0,0,0,0,572,30,134,124,36,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.03,362,500,0,0,0,879,21,3,0.670852489,0,0.345412399,0,1.448,0,10.5,0,0,0,0,879,1,0,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
